Algebra;Matematika pre informatikov;Informatika 1;Úvod do štúdia;Praktikum z programovania 1;Praktické cvičenia z matematiky 1;Algoritmická teória grafov;Diskrétna pravdepodobnosť;Informatika 2;Princípy IKS;Praktické cvičenia z matematiky 2;Praktikum z programovania 2;Matematická analýza 1;Číslicové počítače;Informatika 3;Strojovo orientované jazyky;3D tlač;Analýza procesov;Diskrétna optimalizácia;Databázové systémy;Pravdepodobnosť a štatistika;Algoritmy a údajove štruktúry 1;Vývoj aplikácii pre mobilné zariadenia;Princípy operačných systémov;Anglický jazyk bc. 1;Modelovanie a simulácia;Softvérové inžinierstvo;Vývoj aplikácii pre internet a intranet;Dáta, informácie, znalosti;Bakalárska práca;Pokročilé databázové systémy;Algoritmy a údajové štruktúry 2;Optimalizácia sietí;Návrhové vzory;Komunikačné technológie
D;E;E;D;Neabsolvoval som;Neabsolvoval som;E;E;E;E;Neabsolvoval som;Neabsolvoval som;E;Neabsolvoval som;E;Neabsolvoval som;Neabsolvoval som;Neabsolvoval som;Neabsolvoval som;C;E;Neabsolvoval som;Neabsolvoval som;E;C;Neabsolvoval som;B;Neabsolvoval som;Neabsolvoval som;Neabsolvoval som;Neabsolvoval som;Neabsolvoval som;Neabsolvoval som;Neabsolvoval som;Neabsolvoval som
C;C;D;C;A;A;C;B;A;C;A;A;C;C;A;A;Neabsolvoval som;B;Fx;C;D;D;Neabsolvoval som;D;C;D;C;Neabsolvoval som;C;A;Neabsolvoval som;Neabsolvoval som;Neabsolvoval som;Neabsolvoval som;C
A;B;E;C;Neabsolvoval som;Neabsolvoval som;A;B;B;A;Neabsolvoval som;Neabsolvoval som;D;C;A;A;C;B;C;B;A;B;Neabsolvoval som;A;B;A;B;C;A;A;A;A;B;Neabsolvoval som;A
E;D;C;C;A;A;D;C;C;B;C;A;E;C;C;E;A;E;C;C;E;C;Fx;D;B;E;D;E;C;A;Fx;D;D;Neabsolvoval som;B
A;B;B;B;B;Neabsolvoval som;A;A;C;B;Neabsolvoval som;A;E;B;E;B;E;C;D;C;B;E;C;C;A;C;C;D;Neabsolvoval som;B;E;Neabsolvoval som;Neabsolvoval som;Neabsolvoval som;C
B;C;B;C;Neabsolvoval som;Neabsolvoval som;C;D;A;C;Neabsolvoval som;Neabsolvoval som;D;D;D;E;Neabsolvoval som;D;D;C;E;C;Neabsolvoval som;C;D;B;C;E;E;A;C;B;E;Neabsolvoval som;A
A;B;A;B;A;Neabsolvoval som;A;B;B;A;Neabsolvoval som;A;D;C;B;B;A;B;C;C;B;C;A;B;Neabsolvoval som;C;C;C;Neabsolvoval som;B;C;Neabsolvoval som;Neabsolvoval som;Neabsolvoval som;C
A;C;C;B;A;Neabsolvoval som;B;B;C;C;Neabsolvoval som;A;D;B;D;B;Neabsolvoval som;B;B;C;C;E;C;B;A;E;C;C;Neabsolvoval som;B;C;Neabsolvoval som;Neabsolvoval som;Neabsolvoval som;B
A;A;A;C;Neabsolvoval som;Neabsolvoval som;A;B;B;B;Neabsolvoval som;A;C;Neabsolvoval som;A;Neabsolvoval som;Neabsolvoval som;Neabsolvoval som;Neabsolvoval som;A;C;A;B;C;Neabsolvoval som;E;C;B;Neabsolvoval som;B;C;D;D;Fx;D
C;C;C;C;Neabsolvoval som;Neabsolvoval som;A;B;C;A;Neabsolvoval som;A;D;E;A;B;E;Fx;B;C;C;A;Neabsolvoval som;C;B;D;C;B;A;B;C;Fx;E;Neabsolvoval som;D
E;D;D;D;B;Neabsolvoval som;E;D;B;B;Neabsolvoval som;A;E;C;A;B;Neabsolvoval som;C;D;D;E;C;A;C;B;C;C;B;C;A;C;B;E;A;C
